LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID70301,70301,1,8.681690216064453,46.62287751690005,39.66437619113966,0.0,25.0,25,7.5,1,,221.53846153846155,255.0,0.0,255.0,48960.0,86.29434098892722,0.4835367459829661,1.67350876093794
ID70300,70300,1,8.730446815490723,38.53362581647031,33.74657381002243,0.0,23.0,23,7.5,1,,207.69230769230768,255.0,0.0,255.0,45900.0,99.34840157297415,0.4792678371311169,1.354630949764869
ID70303,70303,1,8.861573219299316,49.06706140477963,35.39760983986039,0.0,28.0,28,7.5,1,,211.15384615384616,255.0,0.0,255.0,46665.0,96.43841108638802,0.48328267477203657,1.4267774872700607
ID70305,70305,1,7.169267654418945,45.83628171846186,38.577292975955714,0.0,29.0,29,7.5,1,,183.46153846153845,255.0,0.0,255.0,40545.0,114.82252952584389,0.27304157947411517,0.6853842427312093
ID70304,70304,1,8.611284255981445,46.18361456127412,36.190437326778145,0.0,26.0,26,7.5,1,,223.84615384615384,255.0,0.0,255.0,49470.0,83.69807126133331,0.4722318040703692,1.7157073805563228
ID70307,70307,1,8.394685745239258,27.543990877663294,38.012531750708106,0.0,33.0,33,7.5,1,,171.92307692307693,255.0,0.0,255.0,37995.0,119.78214490383014,0.3981659202388569,0.817480606130383
ID70306,70306,1,9.214164733886719,48.664778177119295,36.09812870418602,0.0,27.0,27,7.5,1,,220.3846153846154,255.0,0.0,255.0,48705.0,87.54069982513303,0.5296687295231162,1.7434447968459075
ID70309,70309,1,7.82696008682251,38.68741668736122,39.39742370748618,0.0,31.0,31,7.5,1,,183.46153846153845,255.0,0.0,255.0,40545.0,114.82252952584389,0.33715596330275227,0.8057432883557836
ID70308,70308,1,7.466789245605469,38.38085620487235,39.00380410126688,0.0,30.0,30,7.5,1,,196.15384615384616,255.0,0.0,255.0,43350.0,107.68178644908902,0.31539611360239167,0.8735431349772254
ID70311,70311,1,6.331582069396973,29.4307511482256,38.739885531503646,0.0,36.0,36,7.5,1,,167.30769230769232,255.0,0.0,255.0,36975.0,121.4013455991606,0.20810452565801935,0.47478765457982436
ID70310,70310,1,6.789796829223633,27.26808244363254,41.09628905876446,0.0,34.0,34,7.5,1,,199.6153846153846,255.0,0.0,255.0,44115.0,105.3844112090305,0.27611064543168484,0.8196764387645674
ID70313,70313,1,6.080374717712402,25.26586119776042,41.66223332158828,0.0,38.0,38,7.5,1,,183.46153846153845,255.0,0.0,255.0,40545.0,114.82252952584389,0.22019708729397403,0.5766728466832068
ID70312,70312,1,7.2454376220703125,36.188858313733114,36.26132738746483,0.0,32.0,32,7.5,1,,199.6153846153846,255.0,0.0,255.0,44115.0,105.3844112090305,0.3212983856969276,0.9212028464803972
ID70315,70315,1,8.417691230773926,25.006555089445666,39.017810157690995,0.0,35.0,35,7.5,1,,161.53846153846155,255.0,0.0,255.0,35700.0,123.1513651619771,0.40350877192982454,0.7542313092708894
ID70314,70314,1,5.827692031860352,30.99657415545223,40.04578247319964,0.0,39.0,39,7.5,1,,163.84615384615384,255.0,0.0,255.0,36210.0,122.48711934564517,0.16393442622950816,0.37680571149367204
ID70317,70317,1,7.815520286560059,33.93721962953833,43.79411819495064,0.0,41.0,41,7.5,1,,143.07692307692307,255.0,0.0,255.0,31620.0,126.832167061036,0.31819280019328333,0.5446049545158843
ID70316,70316,1,5.296889781951904,29.25628738873561,41.794350272695155,0.0,40.0,40,7.5,1,,125.76923076923077,0.0,0.0,255.0,27795.0,127.77766967327587,0.093229997720538,0.16787791643014563
ID70338,70338,2,9.035637855529785,22.88714352526747,26.16515943989895,0.0,66.0,66,7.5,1,,211.15384615384616,255.0,0.0,255.0,46665.0,96.43841108638802,0.48096376678315245,1.4221548043496126
ID70402,70402,2,9.867609977722168,29.564057586466205,11.284620002774785,0.0,91.0,91,7.5,1,,229.6153846153846,255.0,0.0,255.0,50745.0,76.51922835269806,0.5862606206634179,2.218076791015365
ID70340,70340,2,10.025402069091797,21.695987941834694,24.26907200717452,0.0,68.0,68,7.5,1,,230.76923076923077,255.0,0.0,255.0,51000.0,74.9475340964126,0.5985467756584923,2.30580882210716
ID70342,70342,2,10.215888977050781,23.121715780504093,24.858036921553268,0.0,67.0,67,7.5,1,,227.30769230769232,255.0,0.0,255.0,50235.0,79.51909653213367,0.6241334082818063,2.1969917267885433
ID70344,70344,2,10.21314811706543,17.879943329288068,23.132808849216655,0.0,72.0,72,7.5,1,,234.23076923076923,255.0,0.0,255.0,51765.0,69.90640596115381,0.6281443674808603,2.585374877299481
ID70348,70348,2,10.189372062683105,19.3724643861685,20.706979629550567,0.0,69.0,69,7.5,1,,230.76923076923077,255.0,0.0,255.0,51000.0,74.9475340964126,0.6134946828016136,2.341498124057832
ID70351,70351,2,9.620078086853027,21.38823976934693,24.104989624510427,0.0,71.0,71,7.5,1,,228.46153846153845,255.0,0.0,255.0,50490.0,78.04214837558594,0.5732731376975169,2.1333953345759005
ID70353,70353,2,9.797929763793945,25.188659617831373,23.068940687787638,0.0,70.0,70,7.5,1,,236.53846153846155,255.0,0.0,255.0,52275.0,66.23226771531579,0.5848194676271633,2.6357496782691276
ID70355,70355,2,9.64742660522461,20.498683580862302,24.06707988060461,0.0,76.0,76,7.5,1,,219.23076923076923,255.0,0.0,255.0,48450.0,88.75449363192854,0.5692163303613327,1.7919904253725263
ID70357,70357,2,9.973209381103516,18.55546580153601,23.22666755093385,0.0,73.0,73,7.5,1,,216.92307692307693,255.0,0.0,255.0,47940.0,91.08955863493703,0.6017039403620873,1.7892365675406687
ID70358,70358,2,9.667949676513672,22.449146845541073,21.88118235786686,0.0,75.0,75,7.5,1,,231.92307692307693,255.0,0.0,255.0,51255.0,73.32392925504405,0.5735254870563118,2.305723207039606
ID70360,70360,2,9.454155921936035,16.80558327893015,23.124316330857397,0.0,77.0,77,7.5,1,,220.3846153846154,255.0,0.0,255.0,48705.0,87.54069982513303,0.49950932286555455,1.6772418243196283
ID70363,70363,2,9.92531681060791,21.17239576312384,19.913545447137764,0.0,74.0,74,7.5,1,,231.92307692307693,255.0,0.0,255.0,51255.0,73.32392925504405,0.5879342849447886,2.3422027738331592
ID70365,70365,2,9.389873504638672,18.604572810853796,21.22258934221083,0.0,78.0,78,7.5,1,,222.69230769230768,255.0,0.0,255.0,49215.0,85.01398486353665,0.5217274437774393,1.7961874060622225
ID70367,70367,2,9.779135704040527,18.877433064608965,22.485141874707892,0.0,79.0,79,7.5,1,,211.15384615384616,255.0,0.0,255.0,46665.0,96.43841108638802,0.5641025641025641,1.579326023644847
